On-Time Staus of Flight,DESTMARK,DESTGEO,TERM,STRATA,ATYPE,AIRLINE,DEST,GATE,INTDATE,Q1,Q1A,Q1MIL,DEPTIME,PASSTIME,PASSMIN,Q2_1,Q3_1,Q4A,Q4B,Q4C,Q5,Q6,Q7,SAQ,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q8M,Q8N,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q11,Q12,Q13,Q13A1,Q13A2,Q13A3,Q14,Q15A,Q15B,Q16,Q17,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19,Q20,Q21,MAIL,LANG
1,1,1,3,2,1,28,CRESCENT CIT,78,2,21500,2,14:15,15:23,1:08,68,3,3,2,2,1,2,2,2,1,3,5,1,4,4,4,6,6,6,6,6,6,6,3,3,6,6,6,4,3,5,2,,,,,11,5,6,2,4,CA,95531,US,10,6,1,2,1,1
1,1,1,3,2,1,28,CRESCENT CIT,78,2,123000,2,12:30,15:23,2:53,173,2,3,2,2,1,2,2,2,1,4,4,4,5,5,2,6,6,6,6,6,6,6,5,4,6,6,6,5,5,5,2,,,,,11,5,5,2,4,CA,95531,US,10,5,2,2,1,1
1,1,1,3,2,1,28,CRESCENT CIT,78,2,10000,2,13:00,15:23,2:23,143,3,3,2,1,1,2,2,2,1,3,4,4,4,4,4,6,6,6,6,6,6,6,3,3,6,6,6,3,3,4,2,,,,,11,5,5,2,4,CA,95531,US,10,6,2,0,1,1
1,1,1,3,2,1,28,CRESCENT CIT,78,2,10500,2,13:05,15:23,2:18,138,3,3,2,1,1,2,2,4,2,3,4,3,3,3,3,6,3,3,6,3,6,3,3,3,6,6,3,4,4,4,2,,,,,11,4,6,2,4,CA,95531,US,10,5,1,4,1,1
1,1,1,3,2,1,28,CRESCENT CIT,78,2,10500,2,13:05,15:23,2:18,138,3,3,0,2,2,2,2,3,2,4,4,3,3,3,3,6,6,6,6,6,6,6,3,4,6,6,6,4,4,4,2,,,,,11,6,6,2,4,CA,95531,US,10,5,2,4,1,1
1,1,1,3,2,1,28,CRESCENT CIT,78,2,30000,2,15:00,15:23,0:23,23,3,3,2,2,1,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,2,,,,,11,5,5,2,4,MN,56187,US,11,3,2,1,1,1
1,1,1,3,2,1,28,CRESCENT CIT,78,2,20000,2,14:00,15:23,1:23,83,2,3,0,0,1,2,2,1,2,5,4,4,4,4,5,4,4,4,6,6,6,6,4,3,0,0,0,5,5,5,2,,,,,11,5,6,2,4,CO,81401,US,10,2,2,1,1,1
1,1,1,3,2,1,28,CRESCENT CIT,78,2,14000,2,13:40,15:23,1:43,103,8,3,2,2,2,2,2,3,2,5,4,3,4,4,3,1,1,3,6,6,6,6,3,4,6,6,6,4,4,3,2,,,,,11,3,6,2,4,CA,92833,US,10,6,2,0,1,1
1,2,4,4,2,2,2,MONTREAL,10,2,93000,1,9:30,11:55,2:25,145,3,2,1,2,2,2,2,2,1,6,6,6,4,5,5,4,4,4,6,6,6,6,4,4,6,6,6,4,4,4,2,,,,,5,4,4,2,3,QU,,CANADA,13,7,2,1,1,1
1,2,4,4,2,2,2,MONTREAL,10,2,93000,1,9:30,11:55,2:25,145,1,2,2,1,2,2,2,2,1,4,6,4,4,4,4,6,6,4,6,4,6,2,4,4,4,4,4,4,4,5,2,,,,,7,4,4,2,3,QU,,CANADA,13,5,2,4,1,1
