STREETA,STREETB,DIRECTION,AM_PEAKVOL,PM_PEAKVOL,DATE
43RD AV,WOODSHIRE WY,EB,455,453,04/24/2019
NORTH BEND DR,AIMWELL DR,NB/SB,455,462,09/05/2007
BROADWAY,9TH ST,WB,455,477,01/10/2019
K ST,25TH ST,WB,455,495,03/18/1993
COSUMNES RIVER BL,FRANKLIN BL,WB,455,641,08/17/2005
NORWOOD AV,BELL AV,NB,455,702,06/14/2005
STOCKTON BL,Y ST,SB,455,711,08/17/1994
9TH ST,N ST,SB,455,859,11/15/2018
WEST ELKHORN BL,EAST OF SR 99 NB RAMPS,EB,455,1194,03/04/2015
NATOMAS BL,ELKHORN BL,SB,454,289,09/11/2001
GREENHAVEN DR,LAND PARK DR,NB,454,319,08/16/2006
GLORIA DR,TRESTLE GLEN WY,EB,454,336,04/03/1995
C ST,35TH ST,EB/WB,454,430,02/17/2000
BRDWAY,FRONT ST,EB/WB,454,473,04/22/1993
EAST LEVEE RD,SORENTO RD,NB/SB,454,475,08/26/1995
BELL AV,RIO LINDA BL,EB/WB,454,480,09/27/1995
NORWOOD AV,FAIRBANKS AV,NB,454,591,10/17/2000
CENTER PK,BAMFORD DR,SB,454,597,04/12/2007
14TH AV,Btwn 73rd St & Abbey Rd,WB,454,699,05/16/2012
RIO LINDA BL,ARCADE BL,NB,454,761,04/06/2016
24TH ST,CASA LINDA DR,SB,454,820,09/07/2016
GRAND AV,RIO LINDA BL,EB/WB,453,507,07/27/1994
SUTTERVILLE RD,MULBERRY LN,WB,453,567,08/08/1996
ELDER CREEK RD,SUN RIVER DR,WB,453,773,02/01/1996
K ST,29TH ST,EB,452,370,12/07/1992
I ST,22ND ST,EB/WB,452,427,10/27/1998
CHALLENGE WY,ARDEN WY,NB,452,440,05/15/2019
SUTTERVILLE RD,SOUTH LAND PARK DR,WB,452,447,07/28/1998
C ST,33RD ST,EB/WB,452,468,11/29/2007
EL CENTRO RD,SAN JUAN RD,SB,451,240,03/31/2010
G ST,Btwn 10TH ST & 12TH ST,WB,451,332,02/14/2013
Jibboom St,Btwn RichardsBlvd&I St Bridge/NexttoMatsui Park,SB,451,429,10/30/2012
59TH ST,S ST,NB,451,447,08/06/2002
DETROIT BL,MEADOWVIEW RD,NB/SB,451,453,01/31/2007
CAPITOL AV,27TH ST,WB,451,463,01/05/2006
WEST STOCKTON BL,BRUCEVILLE RD,WB,451,493,04/10/2018
WEST EL CAMINO AV,GATEWAY OAKS DR,WB,451,544,03/16/1993
ROYAL OAKS DR,RT 160,NB/SB,451,566,10/03/2007
N ST,27TH ST,EB,451,680,03/27/1997
WEST STOCKTON BL,JACINTO RD,NB/SB,451,722,07/17/2002
MUNROE ST,LATHAM DR,NB,451,772,06/10/2009
DEL PASO BL,DALE AV,EB,450,149,08/10/1999
GREENHAVEN DR,WINDBRIDGE DR,WB,450,412,02/19/1998
SOUTH WATT AV,43RD AV,NB,450,432,02/12/2003
EXPOSITION BL,TRIBUTE RD,EB,450,453,07/21/1993
C ST,34TH ST,EB/WB,450,464,05/06/2003
J ST,42ND ST,WB,450,487,08/16/2005
RIO LINDA BL,ACACIA AV,SB,450,493,12/23/1997
RIVERSIDE BL,SEAMAS AV,NB/SB,450,494,09/22/1994
E ST,13TH ST,EB/WB,450,624,10/25/1995
CENTER PK,SEYFERTH WY,NB/SB,450,658,03/25/1993
Q ST,26TH ST,EB,450,679,02/27/1997
C ST,18TH ST,EB/WB,450,732,10/13/1998
19TH ST,K ST,SB,450,822,09/06/2007
30TH ST,S ST,NB,449,370,12/14/1992
LA RIVIERA DR,MEDITERRANEAN WY,WB,449,394,12/05/2019
CENTER PK,GARDENVIEW WY,SB,449,536,07/24/1997
Jackson Rd,Btwn Folsom Bl & Florin Perkins Rd,EB,449,690,05/16/2012
Q ST,24TH ST,EB,449,720,10/19/1993
Q ST,25TH ST,EB,449,787,11/17/1998
WENTWORTH AV,MEAD AV,EB/WB,449,941,10/31/2002
SANDBURG DR,CARLSON DR,EB/WB,449,948,09/12/2002
DRY CREEK RD,MARYSVILLE BL,SB,448,229,04/10/2007
CAPITOL AV,24TH ST,WB,448,405,02/17/1994
ROYAL OAKS DR,EVERGREEN ST,NB/SB,448,533,09/21/1999
Q ST,21ST ST,EB,448,611,06/09/1993
Q ST,16TH ST,EB,448,655,05/27/1993
Q ST,16TH ST,EB,448,792,01/10/2006
ROMAN OAK WY,FOX OAKS CT,SB,3,10,02/15/2007
SAGAMORE WY,RIVERSIDE BL,EB/WB,2,4,02/23/2000
BELL AV,STRAUS DR,EB,447,250,10/05/1994
LONGVIEW DR,INDUSTRY DR,EB/WB,447,365,01/15/2014
GREENHAVEN DR,ROYAL GREEN AV,NB/SB,447,402,06/03/2014
SUNBEAM AV,RICHARDS BL,NB/SB,447,532,06/08/1994
WINTERS ST,GRAND AV,NB/SB,447,634,10/03/1995
FREEPORT BL,LARKIN WY,NB/SB,447,829,06/03/2014
9TH ST,P ST,SB,447,924,01/10/2019
D ST,10TH ST,WB,446,159,07/30/1998
5TH ST,T ST,NB,446,294,11/14/2018
CENTER PK,TANGERINE AV,NB,446,323,04/10/2007
SORENTO RD,EAST LEVEE RD,NB/SB,446,407,05/06/1997
28TH ST,L ST,NB/SB,446,496,10/29/1992
CAPITOL ML,7TH ST,EB/WB,446,503,01/29/1998
8TH ST,N ST,NB,446,518,09/08/1992
POCKET RD,NASCA WY,EB/WB,446,550,07/31/1995
SOUTH LAND PARK DR,NEVIS CT,NB/SB,446,569,08/18/1994
9TH ST,H ST,SB,446,577,01/20/2004
COLLEGE TOWN DR,LA RIVIERA DR,SB,445,398,08/31/2004
CALVINE RD,HERMITAGE WY,EB/WB,445,476,03/08/1993
14TH AVE,39TH ST,WB,445,479,12/20/2018
J ST,44TH ST,WB,445,516,04/03/2014
S ST,15TH ST,EB/WB,445,519,06/23/1993
MUNROE ST,LATHAM DR,SB,445,539,06/10/2009
E ST,12TH ST,EB/WB,445,564,05/05/1993
19TH ST,J ST,SB,445,589,10/05/1992
21ST AV,FRANKLIN BL,EB/WB,445,704,10/04/1993
FREEPORT BL,VALLEJO WY,SB,445,1034,08/06/2003
GRAND AV,FELL ST,WB,444,423,09/07/2005
39TH ST,FOLSOM BL,NB/SB,444,486,10/11/2007
FRUITRIDGE RD,MICHEAL WY,EB,444,609,07/19/1995
24TH ST,FLORIN RD,SB,444,636,09/17/2008
DEL PASO BL,MARYSVILLE BL,NB,444,678,01/29/2014
14TH AV,EAST RAILROAD AV,WB,444,845,10/25/2007
H ST,15TH ST,EB,444,1011,01/23/1998
NATOMAS BL,CLUB CENTER DR,NB,444,1322,04/12/2016
KARBET WY,RIVERSIDE BL,EB,443,99,04/20/2005
SOUTH LAND PARK DR,35TH AV,NB,443,285,09/13/2005
24TH ST,MEADOWVIEW RD,NB,443,316,01/31/2007
I ST,21ST ST,EB/WB,443,403,10/27/1998
SORENTO RD,BARROS DR,NB/SB,443,404,05/06/1997
MARYSVILLE BL,BELL AV,NB/SB,443,535,03/08/1995
ARENA BL,TRUXEL RD,WB,443,657,02/22/2012
24TH ST,1ST AV,SB,443,710,03/06/2001
ARENA BL,INNOVATOR DR,WB,443,731,04/05/2007
N ST,16TH ST,EB,443,997,11/12/1998
WEST STOCKTON BL,MELVILLE DR,NB/SB,442,402,11/17/2015
I ST,23RD ST,EB/WB,442,422,10/27/1998
BELL AV,RIO LINDA BL,EB,442,466,01/08/2004
CENTER PK,BAMFORD DR,SB,442,573,10/12/2004
ELEANOR AV,BERGER AV,EB/WB,442,605,12/22/1994
CAPITOL AV,28TH ST,EB,442,615,10/21/1997
DEL PASO BL,EDGEWATER RD,EB/WB,442,812,06/23/2015
MODDISON AV,BREUNER AV,EB/WB,442,1293,09/07/2002
COLLEGE TOWN DR,JED SMITH DR,EB,442,2170,06/21/1992
8TH ST,R ST,NB,441,238,02/27/1996
57TH ST,,NB/SB,441,339,01/08/2002
P ST,19TH ST,WB,441,420,10/07/2009
24TH ST,24TH BP,NB,441,453,02/17/1993
S ST,30TH ST,EB/WB,441,527,10/15/2008
24TH AV,5TH AV,NB/SB,441,548,11/04/2004
LEISURE LN,RT 160 NBON R,EB/WB,441,566,02/02/2005
TRUXEL RD,NEWBOROUGH DR,NB,441,1184,06/25/2015
RIO TIERRA AV,NORTHGATE BL,EB/WB,440,329,04/10/2003
LA RIVIERA DR,WATERGLEN CR,WB,440,395,02/02/1995
L ST,Btwn 25TH ST & 26TH ST,WB,440,412,07/25/2013
FOLSOM BL,ALHAMBRA BL,SB,440,583,09/19/2017
T ST,30TH ST,EB/WB,440,589,06/30/1993
F ST,22ND ST,EB/WB,440,604,10/09/1997
T ST,29TH ST,EB/WB,440,615,06/30/1993
S ST,17TH ST,EB/WB,440,695,05/30/2018
BROADWAY,34TH ST,EB,440,756,04/10/2018
35TH AV,SOUTH LAND PARK DR,NB,439,256,09/27/2011
5TH ST,U ST,NB,439,259,12/09/2008
SAN JUAN RD,JABBOUR WY,EB/WB,439,397,03/29/2007
34TH ST,W ST,SB,439,450,03/06/2012
KIEFER BL,FLORIN PERKINS RD,EB/WB,439,504,05/22/2001
BRDWAY,RT 99 SBON R,EB,439,518,04/27/1993
SAN JUAN RD,TUMBLEWEED WY,WB,439,602,06/12/2014
BRDWAY,KROY WY,EB,439,746,07/19/1995
ARCO ARENA E ENT,TRUXEL RD,NB,439,1049,08/13/2002
BELL AV,ASTORIA ST,EB,438,123,03/07/1994
RENE AV,WINTERS ST,NB,438,213,03/17/2004
RIO LINDA BL,MAIN AV,SB,438,327,07/28/2005
VALLEY HI DR,MEADOW PARK WY,EB,438,388,06/07/1993
CENTER PK,MACK RD,NB,438,390,08/14/2008
I ST,22ND ST,EB/WB,438,395,02/10/2004
21ST AV,34TH ST,EB/WB,438,413,09/27/2005
MARYSVILLE BL,RIO LINDA BL,NB/SB,438,424,10/03/2007
ARROYO VISTA DR,NARROWGAUGE WY,EB/WB,438,481,01/16/2002
Elvas Av,Coloma Wy & Fallon Ln,NB/SB,438,503,08/02/2012
GLENROSE AV,DEL PASO BL,EB/WB,438,505,03/12/1998
Q ST,22ND ST,EB,438,671,02/27/1997
14TH ST,14TH ST,EB/WB,438,696,07/27/2000
N ST,18TH ST,EB,437,416,01/10/2006
MC KINLEY BL,ALHAMBRA BL,EB,437,504,09/25/1997
CENTER PKWY,MIDDLEBROOK WY,NB,437,519,11/17/2015
C ST,22ND ST,EB/WB,437,538,10/13/1998
EVERGREEN ST,CALVADOS AV,NB/SB,437,578,11/09/2005
Q ST,20TH ST,EB,437,656,06/28/1994
5TH ST,J ST,NB,437,964,11/14/2018
GLORIA DR,WINWARD WY,NB/SB,436,366,05/20/1997
39TH ST,U ST,NB/SB,436,381,02/11/2004
NORTH FREEWAY BL,PROMENADE CR,EB,436,406,03/18/2010
26TH ST,X ST,NB/SB,436,492,10/15/2008
MC KINLEY BL,32ND ST,EB,436,566,03/03/1998
2ND AV,ALHAMBRA BL,EB,436,587,01/06/1998
C ST,19TH ST,EB/WB,436,631,10/13/1998
BRDWAY,53RD ST,EB,436,754,02/25/2010
SILVER EAGLE RD,NORWOOD AV,EB/WB,436,823,07/23/1998
C ST,35TH ST,EB/WB,435,436,02/17/2000
N ST,9TH ST,EB,435,489,11/15/2018
NORWOOD AV,FAIRBANKS AV,SB,435,502,10/17/2000
GLORIA DR,RIVERGATE WY,NB/SB,435,521,03/22/1993
DEL PASO RD,EL CENTRO RD,WB,435,580,06/15/2006
EL CAMINO AV,FAIRFIELD ST,WB,435,596,01/09/2014
GREENHAVEN DR,FLORIN RD,NB/SB,435,826,08/03/1994
DEL PASO BL,DALE AV,SB,434,287,03/19/2009
26TH AV,25TH ST,EB/WB,434,342,11/30/2005
I ST,24TH ST,EB/WB,434,415,05/13/1999
NORWOOD BP,GROVE AV,EB/WB,434,480,03/17/1998
GREENHAVEN DR,WINDBRIDGE DR,NB/SB,434,524,07/31/1995
35TH AV,SOUTH LAND PARK DR,EB/WB,434,529,09/21/1993
HORNET DR,FOLSOM BL,NB/SB,434,623,01/14/1993
LEMON HILL AV,WILKINSON ST,EB,434,623,01/14/1993
RIO LINDA BL,CARMEL ST,NB,434,695,10/12/1993
38TH ST,3RD AV,SB,4,8,06/18/2008
DEL PASO BL,O'FARRELL DR,NB/SB,433,502,01/26/2005
30TH ST,R ST,NB,433,507,02/25/2009
NORWOOD AV,FAIRBANKS AV,SB,433,559,04/12/2007
ELVAS AV,46TH ST,EB/WB,433,563,06/24/1993
Q ST,30TH ST,EB,433,578,05/27/1993
El Camino AV,approach to Northgate Bl,WB,433,593,09/25/2013
WEST EL CAMINO AV,RIVER PLAZA DR,EB,433,612,03/16/1993
29TH ST,N ST,SB,433,612,11/19/1998
UNIVERSITY AV,CAMPUS COMMONS RD,EB,433,652,09/20/2000
DEL PASO RD,EL CENTRO RD,WB,433,693,01/07/2009
EHRHARDT AV,HOLLY JILL WY,EB,432,251,04/06/1994
14TH AV,Btwn 73rd St & Abbey Rd,EB,432,378,05/16/2012
C ST,MEISTER WY,EB/WB,432,383,04/26/1994
BELL AV,MARYSVILLE BL,WB,432,415,10/18/2001
39TH ST,L ST,NB/SB,432,485,03/07/1995
NORWOOD BP,GROVE AV,NB/SB,432,492,10/05/1995
MARTIN LUTHER KING JR BL,13TH AV,NB,432,512,12/01/1992
BRDway,6th St & 8th St,EB,432,520,08/02/2012
GLORIA DR,STEAMBOAT WY,NB/SB,432,526,01/06/1993
SORENTO RD,DEL PASO BL,NB/SB,432,619,03/12/1999
COLFAX ST,EL CAMINO AV,WB,432,651,04/23/2003
SEAMAS AV,KARBET WY,EB,432,652,06/18/1992
GROVE AV,ALTOS AV,NB/SB,432,751,09/19/1995
SAN JUAN RD,EL CENTRO RD,WB,431,172,02/22/2012
8TH ST,S ST,NB,431,207,08/22/1995
39TH ST,T ST,NB/SB,431,390,12/20/2018
CAPITOL AV,16TH ST,EB/WB,431,478,11/10/1998
5TH ST,X ST,NB/SB,431,487,10/15/2008
5TH ST,R ST,NB,431,517,02/22/1995
J St,Btwn 39th St & 40th St,WB,431,523,09/06/2012
K ST,16TH ST,EB/WB,431,559,12/14/2005
BROADWAY,62ND ST,EB,431,585,04/19/2016
BELL AV,RALEY BL,EB,430,172,07/23/1991
CREST DR,FENMORE AV,SB,430,216,08/14/2004
RIO LINDA BL,FORD RD,SB,430,379,04/08/2009
C ST,ALHAMBRA BL,EB/WB,430,471,10/11/2007
San Juan RD,approach to Northgate Bl,WB,430,522,10/02/2013
RIO LINDA BL,HARRIS AV,NB/SB,430,601,08/02/1993
POCKET RD,EAST SHORE DR,WB,430,610,04/07/2016
OCCIDENTAL DR,MEDITERRANEAN WY,NB/SB,430,611,05/20/1993
24TH ST,MEADOWVIEW RD,SB,430,639,11/13/2008
San Juan RD,approach to Northgate Bl,EB,430,693,10/02/2013
WEST EL CAMINO AV,NORTHGLEN ST,WB,430,704,04/21/2010
N ST,18TH ST,EB,430,792,05/31/2001
RT 80 EB OFF R,WEST EL CAMINO AV,NB,430,1227,04/24/2007
I-80 EB RAMPS,NORTHGATE BL,EB,429,219,04/02/2015
RT 160 SB ON R,DEL PASO BL,SB,429,292,11/06/2007
GREENHAVEN DR,GLORIA DR,NB,429,329,04/17/2007
RESPONSE RD,RIVER PARK DR,EB,429,411,07/27/2006
I ST,22ND ST,EB/WB,429,430,08/20/1998
C ST,ALHAMBRA BL,EB/WB,429,483,04/29/1993
30TH ST,S ST,NB,429,498,10/27/1993
NORWOOD AV,BELL AV,SB,429,503,10/07/1991
West El Camino Av,Btwn Western Av and East Levee Rd,EB,429,657,01/16/2013
BRUCEVILLE RD,JACINTO AV,SB,429,662,03/22/2001
SAN JUAN RD,NORTHGATE BL,WB,429,672,06/12/2014
F ST,13TH ST,EB,429,678,03/28/1995
J ST,53RD ST,EB,429,809,06/09/2016
BRDWAY,53RD ST,EB,429,830,04/17/2007
WEST EL CAMINO AV,WEST OF I 80 WB RAMPS,WB,429,914,03/04/2015
NORTH BEND DR,Btwn MAYFIELD ST & ALTERRA Wy,SB,428,205,01/09/2013
30TH ST,E ST,NB,428,250,11/15/2016
EL CENTRO RD,DEL PASO RD,NB,428,437,02/22/2012
EL CENTRO RD,DEL PASO RD,NB,428,437,02/22/2012
POCKET RD,BLACKWATER WY,NB/SB,428,465,01/13/1993
DEL PASO BL,FAIRFIELD ST,NB,428,580,03/04/2009
LA MANCHA WY,SEYFERTH WY,NB/SB,428,615,09/11/1996
RIO LINDA BL,ALAMOS AV,NB,428,639,12/01/1992
ARCADE BL,RIO LINDA BL,NB,428,805,01/08/2002
FLORIN PERKINS RD,JACKSON RD,SB,428,807,10/15/2008
RIVERSIDE BL,Btwn SKYSAIL CT & SHORESIDE DR (E),WB,428,922,07/23/2013
FRANKLIN BL,FLORIN RD,SB,428,1181,05/13/2015
WINTERS ST,DOWNAR WY,NB,427,219,06/07/2005
59TH ST,TAHOE WY,NB,427,286,02/08/1995
EAST COMMERCE WY,DEL PASO RD,SB,427,329,06/15/2006
LEMON HILL AV,STOCKTON BL,WB,427,406,12/12/1996
K ST,20TH ST,WB,427,422,03/21/2012
J ST,45TH ST,WB,427,500,08/16/2005
14TH AV,39TH ST,WB,427,512,11/30/1992
C ST,20TH ST,EB/WB,427,608,10/13/1998
E ST,15TH ST,EB/WB,427,622,05/05/1993
K ST,22ND ST,EB,427,664,12/19/1994
CAPITOL AV,19TH ST,EB/WB,427,714,11/30/2005
SILVER EAGLE RD,NORTHGATE BL,EB,427,821,10/04/2007
POCKET RD,RIVER ISLE WY,WB,426,263,05/20/1997
MARTIN LUTHER KING JR BL,12TH AV,NB,426,406,04/15/2009
S ST,16TH ST,EB/WB,426,464,06/23/1993
GRAND AV,NORWOOD AV,EB/WB,426,495,10/15/2009
CAMPUS COMMONS RD,UNIVERSITY AV,NB,426,516,09/22/2011
C ST,25TH ST,EB/WB,426,540,10/13/1998
RUSH RIVER DR,DELTA WIND DR,EB/WB,426,556,02/08/2005
BAMFORD DR,LOORZ CT,SB,426,636,12/11/2007
N ST,19TH ST,EB,426,795,11/10/1998
9TH ST,CAPITOL MALL,SB,426,852,11/15/2018
RIVERSIDE BL,RIVERCREST DR,SB,426,1075,04/12/2007
15TH ST,F ST,SB,425,339,09/14/1992
FREEPORT BL,FLORIN RD,NB/SB,425,339,01/05/1995
LAKE FOREST DR,GREAT FALLS WY,EB/WB,425,346,01/07/2003
H ST,ALHAMBRA BL,EB,425,441,09/15/2011
DETROIT BL,LAURIE WY,NB/SB,425,485,04/17/1992
SORENTO RD,DEL PASO BL,NB/SB,425,535,03/15/1999
SOUTH LAND PARK DR,FLORIN RD,NB/SB,425,585,08/16/1994
TRUXEL RD,SAGINAW CR,NB,425,870,08/31/1994
WEST RIVER DR,WEST EL CAMINO AV,NB/SB,424,214,06/14/2005
BELVEDERE AV,82ND ST,WB,424,309,02/01/2001
CENTER PK,TANGERINE AV,NB,424,365,11/01/2007
I ST,22ND ST,EB/WB,424,368,08/05/1998
H ST,8TH ST,EB,424,420,12/17/2019
ALHAMBRA BL,MC KINLEY BL,NB/SB,424,475,09/25/1997
SOUTH LAND PARK DR,13TH ST,NB/SB,424,507,10/15/1992
43RD AV,JOHNFER WY,WB,424,507,10/26/1992
NATOMAS PARK DR,CAPITAL PARK DR,NB/SB,424,521,12/05/2000
24TH ST,9TH AV,NB/SB,424,582,03/29/2005
N ST,W of 17TH ST,EB,424,712,08/22/2012
RUSH RIVER DR,DEL MAR WY,NB/SB,424,719,02/08/2005
RIO LINDA BL,S of MARYSVILLE BL/CLAIRE AV,NB,424,745,01/08/2014
VALLEY HI DR,GRANDSTAFF DR,NB,424,812,04/19/1995
SANDBURG DR,CARLSON DR,EB/WB,424,883,09/13/2002
SOUTH LAND PARK DR,FRUITRIDGE RD,SB,423,228,07/21/1992
24TH ST,JOHN STILL DR,NB/SB,423,376,10/02/2018
G ST,7TH ST,WB,423,437,10/30/2001
G ST,16TH ST,EB/WB,423,492,10/21/1998
FREEPORT BL,MEADOWVIEW RD,SB,423,650,11/13/2008
WINTERS ST,NORTH AV,SB,423,651,05/25/2016
DEL PASO RD,SORENTO RD,EB/WB,423,788,10/06/1995
62ND ST,21ST AV,NB/SB,423,822,01/23/2002
9TH ST,P ST,SB,423,948,11/15/2018
EAST COMMERCE WY,GREG THATCH CR,SB,422,241,06/15/2005
POCKET RD,WEST SHORE DR,EB,422,344,04/10/2002
REDDING AV,Q ST,NB/SB,422,377,12/04/2003
CAPITOL AV,16TH ST,EB/WB,422,451,05/04/1993
LEISURE LN,EXPOSITION BL,EB/WB,422,469,02/26/1997
30TH ST,Q ST,NB,422,473,12/14/1992
LA MANCHA WY,SEYFERTH WY,SB,422,553,12/27/1993
ELEANOR AV,ALTOS AV,EB/WB,422,557,09/02/1993
NORWOOD AV,ELEANOR AV,NB/SB,422,577,02/09/2006
N ST,21ST ST,EB,422,627,04/13/1993
W ST,5TH ST,WB,422,1184,07/08/1993
10TH ST,W ST,NB,421,206,11/17/1992
59TH ST,LORRAINE CT,SB,421,247,11/30/2006
K ST,20TH ST,WB,421,402,03/07/2006
FREEPORT BL,MEADOWVIEW RD,NB/SB,421,511,11/27/2001
GRAND AV,RIO LINDA BL,WB,421,516,12/03/2002
J ST,44TH ST,WB,421,516,01/14/2014
CARLSON DR,STATE AV,NB/SB,421,1084,09/05/2002
PARK RIVIERA WY,RIVERSIDE BL,SB,421,1209,09/20/2001
N ST,CAPITOL ML,EB,420,271,04/12/1993
RIO LINDA BL,BELL AV,SB,420,275,05/08/1997
EL CAMINO AV,EVERGREEN ST,SB,420,297,01/08/2003
39TH ST,U ST,NB/SB,420,358,11/09/2004
ELVAS AV,LUPINE WY,EB/WB,420,395,02/27/1998
BELL AV,TAYLOR ST,EB,420,404,04/09/2002
C ST,32ND ST,EB/WB,420,411,02/17/2000
2ND AV,34TH ST,SB,420,423,04/05/2016
CALVINE RD,CENTER PKWY,EB,420,437,09/21/2011
14TH AV,60TH ST,EB,420,450,03/17/1993
BRDWAY,STOCKTON BL,EB,420,480,11/30/2006
26TH AV,28TH ST,EB/WB,420,484,03/05/2019
56TH ST,ELVAS AV,SB,420,516,03/18/2010
EVERGREEN ST,EL CAMINO AV,NB/SB,420,625,04/03/1998
GATEWAY PARK BL,ARENA BL,NB,420,753,05/03/2007
GREENHAVEN DR,GLORIA DR,NB,419,319,10/18/2007
Lemon Hill AV,approach to Stockton Bl,WB,419,363,09/26/2013
BRDWAY,61ST ST,WB,419,378,11/30/2006
I ST,22ND ST,EB/WB,419,415,06/29/1999
LAKE FOREST DR,GREAT FALLS WY,EB/WB,419,454,05/30/2018
K ST,24TH ST,WB,419,489,08/04/1992
ALTA VALLEY WY,MACK RD,SB,419,520,07/27/2006
ELVAS AV,56TH ST,SB,419,584,07/18/1996
TRUXEL RD,MILLCREEK DR,NB,419,801,09/17/2008
GARDEN HY,GATEWAY OAKS DR,EB/WB,419,812,06/02/1998
5TH ST,U ST,NB,418,227,06/13/2001
Elvas Av,McKinley Bl & Taylor Wy ,NB,418,326,07/26/2012
E ST,28TH ST,EB/WB,418,403,10/01/2008
VINE ST,NORTH 10TH ST,EB/WB,418,425,07/21/1998
EL CENTRO RD,DEL PASO RD,NB,418,440,03/11/2009
ROYAL OAKS DR,ARDEN WY,NB/SB,418,445,04/21/1998
EVERGREEN ST,DIXIEANNE AV,NB/SB,418,537,11/09/2005
K ST,17TH ST,EB/WB,418,573,12/14/2005
L ST,CAPITOL ML,WB,418,621,03/29/1993
LA MANCHA WY,SEYFERTH WY,NB/SB,418,646,08/10/2005
DEL PASO RD,RT 5,WB,418,713,03/31/2010
CARMELITA AV,RIO LINDA BL,NB,418,768,02/26/2002
BRDWAY,62ND ST,EB,418,820,02/25/2010
ETHAN WY,EL CAMINO AV,NB/SB,418,6621,05/05/1998
SOUTH LAND PARK DR,VOLZ DR,NB,417,201,06/16/1999
ARCO ARENA BL,GATEWAY PARK BL,EB,417,213,10/28/2003
Azevedo Dr,Btwn Moontree Dr & Osuna Wy,SB,417,294,05/16/2012
68TH AV,MUIRFIELD WY,EB/WB,417,320,02/01/2006
CAPITOL ML,7TH ST,EB,417,415,04/07/1993
SORENTO RD,EAST LEVEE RD,NB/SB,417,454,05/19/1998
26TH AV,25TH ST,EB/WB,417,513,02/11/2020
26TH ST,X ST,NB/SB,417,575,10/21/1992
14TH AV,Btwn Abbey Rd and West Railroad Av,WB,417,722,01/16/2013
MARYSVILLE BL,RIO LINDA BL,NB/SB,416,358,09/07/2005
BRIDGECROSS DR,HONOR PKWY,EB/WB,416,380,09/30/2015
MARYSVILLE BL,BELL AV,EB,416,406,04/06/2016
C ST,SAN MIGUEL WY,EB/WB,416,413,06/11/2009
CENTER PK,CALVINE RD,SB,416,481,04/23/1996
MARYSVILLE BL,PALO VERDE AV,SB,416,490,03/04/2009
10TH ST,K ST,NB,416,643,11/15/2018
BELL AV,WINTERS ST,NB,415,183,03/31/2005
GARDEN HY,GATEWAY OAKS DR,EB/WB,415,467,10/26/1994
24TH ST,DONNER WY,NB/SB,415,505,03/29/2005
NORWOOD AV,LAMPASAS AV,NB/SB,415,524,03/17/1998
Q ST,ALHAMBRA BL,EB,415,557,11/17/1998
TRUXEL RD,WATERWHEEL DR,NB,415,578,03/22/2003
19TH ST,J ST,SB,415,626,05/17/2011
WEST EL CAMINO AV,ORCHARD LN,EB,415,637,07/07/1992
BAMFORD DR,KENTWAL DR,EB/WB,414,211,12/06/2018
VALLEY HI DR,VALLEY GREEN DR,EB,414,416,07/15/1992
GLENROSE AV,DEL PASO BL,EB/WB,414,437,09/02/1993
SORENTO RD,BARROS DR,NB/SB,414,450,05/19/1998
I ST,3RD ST,WB,414,480,09/12/2007
BELVEDERE AV,82ND ST,EB/WB,414,486,07/11/1995
I ST,22ND ST,EB/WB,414,487,01/12/2006
LEXINGTON ST,OLIVERA WY,NB/SB,414,508,10/10/1996
BRDWAY,STOCKTON BL,WB,414,545,11/30/2006
NORWOOD AV,FAIRBANKS AV,SB,414,547,08/03/2005
J St,Btwn 44th St & 45th St,WB,414,609,09/06/2012
24th St,Btwn Anita Av & 25th Av,NB,413,244,05/16/2012
G ST,22ND ST,EB/WB,413,340,10/21/1998
MEADOWGATE DR,LUTHER DR,NB/SB,413,393,03/18/2003
SORENTO RD,BARROS DR,NB/SB,413,442,05/19/1998
K ST,20TH ST,WB,413,445,06/25/2002
SAN JOAQUIN ST,65TH EX,EB/WB,413,508,02/14/1995
POCKET RD,BLACKWATER WY,EB/WB,413,596,07/27/1995
EL CAMINO AV,COLFAX ST,WB,413,616,01/09/2014
Y ST,34TH ST,SB,413,624,10/01/2003
EVERGREEN ST,CALVADOS AV,NB/SB,413,667,08/05/2003
Q ST,22ND ST,EB,413,672,06/29/1999
RIO LINDA BL,ACACIA AV,NB,413,726,12/23/1997
MC KINLEY BL,33RD ST,WB,412,283,01/27/1993
NORTH BEND DR,NATOMAS BL,EB/WB,412,291,06/16/2005
BELL AV,RIO LINDA BL,WB,412,367,01/08/2004
15TH ST,F ST,SB,412,417,10/20/1998
SOUTH LAND PARK DR,56TH AV,NB/SB,412,427,04/19/2012
28TH ST,CAPITOL AV,NB/SB,412,435,10/29/1992
I ST,22ND ST,EB/WB,412,436,08/18/1998
28TH ST,D ST,NB/SB,412,458,11/17/1998
5TH ST,W ST,NB,412,469,08/18/1992
ELVAS AV,F ST,SB,412,485,01/10/2019
S ST,29TH ST,EB/WB,412,495,06/23/1993
TRUXEL RD,MILLCREEK DR,NB,412,677,04/06/2016
Q ST,22ND ST,EB,412,721,11/17/1998
I-80 EB RAMPS,WEST EL CAMINO AV,EB,412,895,03/10/2015
29TH ST,66TH AV,NB/SB,411,330,06/10/2009
