STREETA,STREETB,DIRECTION,AM_PEAKVOL,PM_PEAKVOL,DATE
FAIR OAKS BL,HOWE AV,EB/WB,2174,2605,08/25/1993
FREEPORT BL,20TH AV,NB/SB,2173,2617,09/04/1995
65TH ST,4TH AV,NB/SB,2173,2645,06/30/1994
Florin Rd,Land Park Dr & Freeport Blvd,EB/WB,2173,2646,07/26/2012
12TH ST,C ST,SB,2171,1373,09/24/1998
NORTHGATE BL,ROSIN CT,NB/SB,2168,2507,08/18/1993
HOWE AV,COLLEGE TOWN DR,NB,2161,2519,04/06/2010
TRUXEL RD,NORTH OF I 80 WB RAMPS,NB,2160,2392,03/04/2015
TRUXEL RD,NORTH OF I 80 WB RAMPS,NB/SB,2160,2392,03/04/2015
POWER INN RD,AMADOR AV,NB/SB,2158,2223,12/08/1993
MACK RD,CENTER PK,EB/WB,2157,2586,04/28/2010
FLORIN RD,24TH ST,EB/WB,2157,2838,06/10/1992
FRANKLIN BL,VALLEY HI DR,NB/SB,2155,1622,09/18/1995
FAIR OAKS BL,HOWE AV,SB,2154,2337,12/12/2002
T ST,57TH ST,EB/WB,2152,2088,01/08/2002
MEADOWVIEW RD,DETROIT BL,EB/WB,2150,2187,02/11/2020
EL CAMINO AV,CONNIE DR,EB/WB,2150,2873,07/28/1993
AUBURN BL,WATT AV,WB,2148,1475,07/26/1995
FLORIN RD,29TH ST,EB/WB,2147,2626,02/20/2020
12TH ST,C ST,SB,2146,1668,09/03/1992
FRUITRIDGE RD,FRANKLIN BL,EB/WB,2146,2475,09/14/1993
HOWE AV,FOLSOM BL,NB,2138,2347,07/14/1992
FLORIN PERKINS RD,JACKSON RD,NB/SB,2133,2289,10/11/1995
SUTTERVILLE RD,21ST ST,EB/WB,2132,1964,09/02/1995
FREEPORT BL,ARGAIL WY,NB/SB,2131,2565,08/07/1995
TRUXEL RD,GATEWAY PARK BL,NB/SB,2131,2000,04/01/2010
POCKET RD,GREENHAVEN DR,EB/WB,2129,1973,04/28/2010
12TH AV,30TH ST,EB/WB,2125,2135,09/09/1993
FRUITRIDGE RD,MENDOCINO BL,EB/WB,2124,2468,09/15/1993
TRUXEL RD,RT 80,NB,2122,2350,03/29/2007
HOWE AV,US 50 WB HOWE AVE OFF RAMP,SB,2122,2497,09/26/2017
RICHARDS BL,RT 5 NBOFF R,EB/WB,2114,2234,06/09/1993
POWER INN RD,CAPISTRANO WY,NB/SB,2112,2188,10/08/1998
STOCKTON BL,EL PARAISO AV,NB/SB,2112,2608,11/22/2002
BRDWAY,16TH ST,EB/WB,2112,2000,03/02/1988
HOWE AV,US 50 WB HOWE AVE OFF RAMP,NB,2111,2369,09/26/2017
POWER INN RD,RT 50,SB,2109,2363,02/05/2003
TRUXEL RD,GATEWAY PARK BL,NB,2109,2412,02/26/2009
12TH ST,C ST,SB,2108,1366,07/22/1999
TRUXEL RD,GATEWAY PARK BL,SB,2106,2386,05/03/2007
FLORIN PERKINS RD,THYS CT,NB/SB,2104,2404,08/17/2005
43RD AV,JOHNFER WY,EB/WB,2100,2414,06/12/1997
NORTHGATE BL,RT 80 WBOFF R,NB/SB,2100,2541,08/18/1993
FREEPORT BL,MEER WY,NB/SB,2099,2417,12/11/2003
FRUITRIDGE RD,24TH ST,EB/WB,2096,2088,12/11/2003
X ST,STOCKTON BL,EB/WB,2094,3093,03/20/2002
TRUXEL RD,RT 80,NB,2093,2600,03/11/2009
12TH ST,D ST,SB,2090,1922,05/22/2014
12th Street,approach to D Street,SB,2090,1922,05/22/2014
FLORIN RD,29TH ST,EB/WB,2090,2401,09/13/1995
FREEPORT BL,14TH AV,NB/SB,2089,2156,10/17/1995
STOCKTON BL,QUINTA CT,NB/SB,2087,2787,05/18/2011
12TH ST,E ST,SB,2086,1889,05/22/2014
12th Street,approach to E Street,SB,2086,1889,05/22/2014
